timestamp,roll_deg,pitch_deg,yaw_deg,rollspeed_dps,pitchspeed_dps,yawspeed_dps,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5,ch6,ch7,ch8,armed
2026-04-25T19:34:06.450,12.287,3.953,330.752,69.634,-8.102,7.521,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.451,12.287,3.953,330.752,69.634,-8.102,7.521,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.553,19.844,3.239,331.763,74.482,-7.469,11.984,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.553,19.844,3.239,331.763,74.482,-7.469,11.984,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.652,27.161,1.93,333.459,62.377,-3.124,18.8,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.653,27.161,1.93,333.459,62.377,-3.124,18.8,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.752,33.132,0.637,334.416,52.481,-4.81,5.756,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.753,33.132,0.637,334.416,52.481,-4.81,5.756,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.851,38.968,0.231,335.445,51.642,6.319,10.741,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.852,38.968,0.231,335.445,51.642,6.319,10.741,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.951,41.66,-0.489,335.801,-0.076,-16.906,-2.575,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.952,41.66,-0.489,335.801,-0.076,-16.906,-2.575,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.051,41.66,-0.489,335.801,-0.076,-16.906,-2.575,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.052,39.262,-2.016,333.82,-40.244,-18.563,-6.514,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.052,39.262,-2.016,333.82,-40.244,-18.563,-6.514,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.151,34.597,-2.067,332.461,-46.05,-5.116,-8.401,0,0,0,0,0,0,0,0,1
